pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---other	5	14	4	4	1	1	0	1	0	0	0	1	0
home---education	10	10	1	3	2	1	0	0	0	1	0	1	2
home---leisure	84	25	10	5	0	4	1	3	1	2	8	1	2
home---other	31	32	14	10	8	3	2	4	2	1	0	0	5
home---pt interaction	0	0	0	0	0	0	1	1	0	0	0	0	0
home---shop	17	17	10	5	4	2	1	3	1	1	0	0	5
home---work	29	82	36	6	9	9	7	0	4	1	2	2	14
leisure---home	83	36	11	3	2	2	1	3	0	3	8	2	1
leisure---leisure	1	0	0	1	0	0	0	0	0	0	0	0	0
leisure---work	16	16	11	8	1	1	1	0	1	0	1	0	0
other---home	32	37	27	11	8	6	2	2	2	0	0	0	4
other---leisure	8	12	5	2	1	2	1	1	0	0	1	0	1
other---other	13	11	13	4	2	1	0	0	0	0	0	0	0
other---shop	3	13	3	1	2	0	0	0	0	0	0	0	0
other---work	1	3	1	2	0	0	0	0	0	0	0	0	0
pt interaction---home	0	0	0	0	0	0	1	1	0	0	0	0	0
pt interaction---pt interaction	1	0	0	1	0	0	0	1	0	1	0	0	2
pt interaction---work	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---home	17	11	10	3	2	4	1	2	2	1	0	0	4
shop---leisure	3	5	0	0	0	0	0	0	0	0	0	0	1
shop---work	5	6	6	3	0	0	1	0	1	0	0	0	0
work---home	31	75	37	16	6	10	7	1	4	1	4	4	12
work---leisure	5	8	3	3	0	0	0	1	1	0	1	0	0
work---other	13	14	17	5	3	1	1	0	0	0	1	0	1
work---pt interaction	2	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 872.8997194950912 seconds = 00:14:32
